Offset-Description  
  		         GRUNTS												     PLAYER		 ELITES                                                                                                                                                                     
0000 - type              0957                0957                0957                0957                0957                00DD                059D                059D                
0088 - 4 Bytes (Hex)     EAD90965            EAD90965            EAD90965            EAD90965            EAD90965            E25B00E7            E72905B5            E72905B5            
008C - 4 Bytes (Hex)     00000046            00030048            00350048            0000002D            0000002D            00100092            000B0061            000C0062            
0090 - 4 Bytes           6                   6                   1                   3                   3                   6                   6                   6                   
0094 - Float             30                  75                  60                  45                  45                  75                  100                 100                 
0098 - Float             0                   0                   0                   0                   0                   75                  150                 150                 
009C - health            0.6952381134        1                   1                   0.6825397015        0.6825397015        1                   1                   1                   
00A0 - shields           0                   0                   0                   0                   0                   1                   1                   1                   
00A4 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
00A8 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
00AC - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
00B0 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
00B4 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
00B8 - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
00BC - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
00C0 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
00C4 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
00C8 - 4 Bytes (Hex)     CB9502A2            CB9602A3            CB9702A4            CB9802A5            CB9802A5            E903029C            CB9402A1            CB90029D            
00CC - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
00D0 - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
00D4 - 4 Bytes (Hex)     E62303A9            E62603AC            E62903AF            E62C03B2            E62C03B2            E5FD038E            E62003A6            E614039A            
00D8 - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
00DC - 4 Bytes (Hex)     00000000            00000000            00000000            00000000            00000000            010000FF            00000000            00000000            
00E0 - Double            0                   0                   0                   0                   0                   0.0078125           0.0078125           0.0078125           
00E8 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
00EC - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
00F0 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
00F4 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
00F8 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
00FC - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0100 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0104 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0108 - 4 Bytes (Hex)     00000000            00000000            00000000            00000000            00000000            E9A20036            00000000            00000000            
010C - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0110 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0114 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0118 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
011C - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0120 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0124 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0128 - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
012C - 4 Bytes (Hex)     E2E80185            E2E70184            E302019F            E30301A0            E30301A0            E2B70154            E2FC0199            E2E30180            
0130 - 4 Bytes           0                   0                   0                   0                   0                   0                   65536               65536               
0134 - 4 Bytes           6197                0                   0                   80                  80                  0                   0                   0                   
0138 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
013C - 4 Bytes           256                 256                 256                 256                 256                 0                   65536               65537               
0140 - Double            0.0015681441873312  0.00022609019652009 0.0002756370231509210.00161276385188103 0.00161276385188103 0.0078125           1.22947653835581E-7 1.22947653835581E-7 
0148 - Float             0.4830985963        0.08198611438       0.08748815954       0.4874249399        0.4874249399        1                   0.08235291392       0.08235291392       
014C - Float             0.1675149053        0.08198611438       0.08748815954       0.1686691046        0.1686691046        1                   0.08627454937       0.08627454937       
0150 - Float             1                   1                   1                   1                   1                   1                   1                   1                   
0154 - Float             1                   1                   1                   1                   1                   1                   1                   1                   
0158 - Float             1                   1                   1                   1                   1                   1                   1                   1                   
015C - Float             1                   1                   1                   1                   1                   0.3411760032        1                   1                   
0160 - Float             1                   1                   1                   1                   1                   0.4039219916        1                   1                   
0164 - Float             1                   1                   1                   1                   1                   0.1450980008        1                   1                   
0168 - Float             1                   1                   1                   1                   1                   1                   1                   1                   
016C - Float             1                   1                   1                   1                   1                   1                   1                   1                   
0170 - Float             1                   1                   1                   1                   1                   1                   1                   1                   
0174 - 4 Bytes           1062842694          1059955284          1060245612          1062890604          1062890604          0                   1048608883          1048608883          
0178 - 4 Bytes           1056397491          1034414166          1035152638          1056542659          1056542659          0                   1034463397          1034463397          
017C - Double            0.00781250180938687 0.00781250179442254 0.00781250179570358 0.00781250180952124 0.00781250180952124 0.0078125           0.00781250179542102 0.00781250179542102 
0184 - Float             1                   1                   1                   1                   1                   1                   1                   1                   
0188 - Float             1                   1                   1                   1                   1                   1                   1                   1                   
018C - Float             1                   1                   1                   1                   1                   0.3411760032        1                   1                   
0190 - Float             1                   1                   1                   1                   1                   0.4039219916        1                   1                   
0194 - Float             1                   1                   1                   1                   1                   0.1450980008        1                   1                   
0198 - Float             1                   1                   1                   1                   1                   1                   1                   1                   
019C - Float             1                   1                   1                   1                   1                   1                   1                   1                   
01A0 - Float             1                   1                   1                   1                   1                   1                   1                   1                   
01A4 - 4 Bytes (Hex)     0ADC0220            0ADC0220            0ADC0220            0ADC0220            0ADC0220            0B840260            0DD00340            0DD00340            
01A8 - 4 Bytes (Hex)     08BC0220            08BC0220            08BC0220            08BC0220            08BC0220            09240260            0A900340            0A900340            
01AC - 4 Bytes (Hex)     05480374            05480374            05480374            05480374            05480374            054803DC            05480548            05480548            
01B0 - 4 Bytes (Hex)     FFFF0000            FFFF0000            FFFF0000            FFFF0000            FFFF0000            FFFF0000            FFFF0000            FFFF0000            
01B4 - 4 Bytes (Hex)     FFFF0000            FFFF0000            FFFF0000            FFFF0000            FFFF0000            FFFF0000            FFFF0000            FFFF0000            
01B8 - 4 Bytes           3815505931          3815571468          3815637005          3815702542          3815702542          4294967295          3815440394          3815178246          
01BC - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
01C0 - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
01C4 - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
01C8 - 4 Bytes (Hex)     40000009            20000009            20000009            60000009            60000009            30000009            20000009            20000009            
01CC - 4 Bytes           0                   32                  0                   32                  32                  0                   32                  0                   
01D0 - 4 Bytes (Hex)     FF000000            FF00001C            FF00001B            FF00001A            FF00001A            FF000000            FF000001            FF000005            
01D4 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
01D8 - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
01DC - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
01E0 - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
01E4 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
01E8 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
01EC - 4 Bytes (Hex)     FFFFFFFF            FFFFFFFF            FFFFFFFF            FFFFFFFF            FFFFFFFF            EC700000            FFFFFFFF            FFFFFFFF            
01F0 - 4 Bytes (Hex)     FFFF0001            FFFF0000            FFFF0000            FFFF0000            FFFF0000            FFFF0001            FFFF0001            FFFF0000            
01F4 - Float             1.212123172E-42     0                   0                   0                   0                   5.749527599E-42     1.259767319E-42     0                   
01FC - Float             0.9560088515        -0.7848775983       0.4190038443        0.738514781         0.738514781         -0.9991996288       0.9279575348        0.5275563598        
0204 - detonate timer    -0.1385206282       0.09203419089       -0.9546239376       -0.8647871614       -0.8647871614       0.03956578672       -0.02885796688      -0.06882078946      
0208 - Float             0.9891631603        -0.9956828356       -0.2973645627       -0.4686729014       -0.4686729014       -0.9882757664       0.9995607138        0.992682457         
020C - Float             -0.0486644581       -0.01205736957      0.01635800488       -0.18024607         -0.18024607         -0.1474639773       0.006740733515      -0.09922215343      
0210 - Float             -0.1367796361       -0.2637967169       -0.9769405723       -0.67972368         -0.67972368         0.03956578672       0.5097424388        -0.2464127988       
0214 - Float             0.9893586636        0.96229738          -0.1712615639       0.71597296          0.71597296          -0.9882757664       0.8599436879        0.9631912708        
0218 - Float             -0.04960811511      -0.06629475206      -0.1275013387       -0.1592435688       -0.1592435688       -0.1474639773       0.02568102255       -0.1074397489       
021C - 4 Bytes           0                   974979899           968025407           0                   0                   0                   1011565776          0                   
0220 - 4 Bytes           0                   985095632           3136025083          0                   0                   0                   3147609880          0                   
0228 - look x            -0.1367909908       0.09203419089       -0.9546239376       -0.8647871614       -0.8647871614       0.03956578672       -0.02885796688      -0.06882078946      
022C - look y            0.9896469116        -0.9956828356       -0.2973645627       -0.4686729014       -0.4686729014       -0.9882757664       0.9995607138        0.992682457         
0230 - look z            -0.04344322532      -0.01205736957      0.01635800488       -0.18024607         -0.18024607         -0.1474639773       0.006740733515      -0.09922215343      
0234 - Float             -0.1377665401       -0.257761687        -0.9769327044       -0.67972368         -0.67972368         0.03956578672       0.6048496962        -0.2464127988       
0238 - Float             0.9895147085        0.9644044042        -0.1714326888       0.71597296          0.71597296          -0.9882757664       0.793603301         0.9631912708        
023C - Float             -0.04337049276      -0.05901561305      -0.1273314059       -0.1592435688       -0.1592435688       -0.1474639773       0.06595961004       -0.1074397489       
0240 - 4 Bytes           0                   0                   0                   0                   0                   0                   1013195130          0                   
0244 - 4 Bytes           0                   0                   0                   0                   0                   0                   3153446525          0                   
0248 - 4 Bytes           0                   0                   0                   0                   0                   0                   3167638342          0                   
024C - 4 Bytes           3212836864          0                   0                   0                   0                   0                   0                   3212836864          
0250 - 4 Bytes           0                   0                   1065353216          0                   0                   0                   0                   0                   
0254 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0258 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
025C - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0260 - 4 Bytes (Hex)     00000000            00000000            00000000            00000000            00000000            00000000            00000000            00000000            
0264 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0268 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
026C - 4 Bytes (Hex)     00410001            00410000            00410000            00410001            00410001            008C0000            00530000            00530000            
0270 - 4 Bytes (Hex)     FFFF0037            FFFF0037            FFFF0037            FFFF0037            FFFF0037            FFFF0078            FFFF0052            FFFF0052            
0274 - 4 Bytes           486670336           65536               131072              385941504           385941504           260                 67108868            100663300           
0278 - 4 Bytes (Hex)     02030000            02030000            02030000            02030000            02030000            02030000            02030000            02030000            
027C - 4 Bytes (Hex)     FFFF00FF            FFFF00FF            FFFF00FF            FFFF00FF            FFFF00FF            FFFF00FF            FFFF00FF            FFFF00FF            
0280 - 4 Bytes (Hex)     FFFF0000            FFFF0000            FFFF0000            FFFF0000            FFFF0000            FFFF003F            FFFF0000            FFFF0000            
0284 - 4 Bytes (Hex)     FFFF0008            FFFF0000            FFFF0000            FFFF0000            FFFF0000            FFFF0008            004C0005            004A0000            
0288 - Double            -0.195796370506287  -0.195796370973767  -0.195796370973767  -0.195796370506287  -0.195796370506287  -0.195796370973767  -0.195796370973767  -0.195796370973767  
0290 - Float             1.570796371         1.570796371         1.570796371         1.570796371         1.570796371         1.570796371         1.570796371         1.570796371         
0294 - Float             -1.570796371        -1.570796371        -1.570796371        -1.570796371        -1.570796371        -1.570796371        -1.570796371        -1.570796371        
0298 - Float             1.570796371         1.570796371         1.570796371         1.570796371         1.570796371         1.570796371         1.570796371         1.570796371         
029C - Float             -1.04719758         -1.04719758         -1.04719758         -1.04719758         -1.04719758         -1.221730471        -1.570796371        -1.570796371        
02A0 - Float             1.221730471         1.221730471         1.221730471         1.221730471         1.221730471         1.221730471         1.570796371         1.570796371         
02A4 - Float             -1.04719758         -1.04719758         -1.04719758         -1.04719758         -1.04719758         -0.7853981853       -1.04719758         -1.04719758         
02A8 - Float             1.04719758          1.04719758          1.04719758          1.04719758          1.04719758          0.7853981853        1.04719758          1.04719758          
02AC - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
02B0 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
02B4 - Float             0.5497882962        0.4629255235        0.2102392316        0.3468039334        0.3468039334        0.4275294542        0.4275294542        0.4275294542        
02B8 - 4 Bytes           1068693660          1056371942          1068693660          1055394580          1055394580          0                   1068725437          1068725437          
02BC - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
02C0 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
02C4 - 4 Bytes (Hex)     0000FFFF            0000FFFF            0000FFFF            0000FFFF            0000FFFF            0001FFFF            0000FFFF            0000FFFF            
02C8 - 4 Bytes           0                   0                   0                   0                   0                   1                   0                   0                   
02CC - 4 Bytes (Hex)     E62303A9            E62603AC            E62903AF            E62C03B2            E62C03B2            E5FC038D            E62003A6            E614039A            
02D0 - 4 Bytes (Hex)     FFFFFFFF            FFFFFFFF            FFFFFFFF            FFFFFFFF            FFFFFFFF            E5FD038E            FFFFFFFF            FFFFFFFF            
02D4 - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
02D8 - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
02DC - 4 Bytes           60                  60                  60                  60                  60                  3090                60                  60                  
02E0 - 4 Bytes           0                   0                   0                   0                   0                   3118                0                   0                   
02E4 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
02E8 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
02EC - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
02F0 - 4 Bytes (Hex)     01000101            01000101            02000101            01000101            01000101            00040000            02000101            02000101            
02F4 - 4 Bytes (Hex)     017FFFFF            087FFFFF            057FFFFF            017FFFFF            017FFFFF            007FFFFF            527FFFFF            037FFFFF            
02F8 - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
02FC - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
0300 - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
0304 - 4 Bytes (Hex)     00000000            00000000            00000000            00000000            00000000            E5FE0001            00000000            00000000            
0308 - 4 Bytes           0                   0                   0                   0                   0                   1082                0                   0                   
030C - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
0310 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0314 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0318 - Double            0.0078125           0.0078125           0.0078125           0.0078125           0.0078125           0.0078125           0.0078125           0.0078125           
0320 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0324 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0328 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
032C - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0330 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0334 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0338 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
033C - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0340 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0344 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0348 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
034C - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0350 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0354 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0358 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
035C - 4 Bytes (Hex)     EAF60982            EAF60982            EAF60982            EAF60982            EAF60982            E29D0129            E74B05D7            E74B05D7            
0360 - 4 Bytes           9240580             65537               7077891             7536648             7536648             0                   9764867             393218              
0364 - 4 Bytes           3945007536          3942123908          3944024481          3944221092          3944221092          0                   3881240035          3880584665          
0368 - 4 Bytes           983040              0                   4915260             589824              589824              0                   983040              0                   
036C - 4 Bytes           24                  0                   24                  24                  24                  0                   24                  7                   
0370 - 4 Bytes           4294967295          4294967295          3858301834          4294967295          4294967295          0                   3858301834          4294967295          
0374 - 4 Bytes           4325399             4294967295          3211270             5898249             5898249             0                   4390938             4294967295          
0378 - 4 Bytes           65536               65535               65536               65536               65536               0                   65536               65535               
037C - 4 Bytes           65541               0                   65540               65540               65540               0                   0                   0                   
0380 - 4 Bytes           3860923303          0                   3858301834          3861513136          3861513136          0                   4294967295          0                   
0384 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0388 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
038C - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0390 - 4 Bytes           0                   0                   0                   0                   0                   0                   9764867             0                   
0394 - 4 Bytes           0                   0                   0                   0                   0                   0                   3881240035          0                   
0398 - 4 Bytes           0                   0                   0                   0                   0                   0                   983040              0                   
039C - 4 Bytes           0                   0                   0                   0                   0                   0                   24                  0                   
03A0 - 4 Bytes           0                   0                   0                   0                   0                   0                   3858301834          0                   
03A4 - 4 Bytes           0                   0                   0                   0                   0                   0                   4390938             0                   
03A8 - 4 Bytes           0                   0                   0                   0                   0                   0                   65536               0                   
03AC - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
03B0 - 4 Bytes           0                   0                   0                   0                   0                   0                   4294967295          0                   
03B4 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
03B8 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
03BC - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
03C0 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   65558               
03C4 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   30                  
03C8 - 4 Bytes           2386                4294967295          1796                1451                1451                4294967295          3694                4294967295          
03CC - 4 Bytes           0                   257                 0                   0                   0                   256                 0                   0                   
03D0 - 4 Bytes           8519680             720896              4784188             4784128             4784128             0                   917504              3080192             
03D4 - 4 Bytes           1572879             0                   1572939             1572873             1572873             0                   1572879             458752              
03D8 - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          0                   4294967295          4294967295          
03DC - 4 Bytes           0                   0                   0                   2949122             2949122             0                   2949122             2949122             
03E0 - 4 Bytes           0                   0                   0                   1050839593          1050839593          0                   1039388478          1039388478          
03E4 - 4 Bytes           4294967295          4294967295          4294967295          3858301834          3858301834          4294967295          3858301834          3858301834          
03E8 - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
